"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"58","Aviation","Aviation--",2015,6,2,0,2,100,"Aviation Aviation-- 2015 6",67.5,67.5,55.8614357137373,123.361435713737,179.222871427475,235.084307141212,11.6385642862627,-44.2228714274745,-100.084307141212,"2015.6","2015/06/30"
"59","Aviation","Aviation--",2015,7,1,0,1,100,"Aviation Aviation-- 2015 7",81,81,NA,NA,NA,NA,NA,NA,NA,"2015.7","2015/07/31"
"60","Aviation","Aviation--",2015,8,1,0,1,100,"Aviation Aviation-- 2015 8",60,60,NA,NA,NA,NA,NA,NA,NA,"2015.8","2015/08/31"
"61","Aviation","Aviation--",2015,12,1,1,0,0,"Aviation Aviation-- 2015 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2015.12","2015/12/31"
"62","City Managers Office","City Managers Office-311 Call Center-",2007,1,14,0,3,21.4285714285714,"City Managers Office City Managers Office-311 Call Center- 2007 1",9.35714285714286,3,14.2321799122603,23.5893227694031,37.8215026816634,52.0536825939237,-4.87503705511742,-19.1072169673777,-33.339396879638,"2007.1","2007/01/31"
"63","City Managers Office","City Managers Office-311 Call Center-",2007,2,7,0,1,14.2857142857143,"City Managers Office City Managers Office-311 Call Center- 2007 2",2.14285714285714,1,3.23669437485075,5.37955151770789,8.61624589255864,11.8529402674094,-1.09383723199361,-4.33053160684435,-7.5672259816951,"2007.2","2007/02/28"
"64","City Managers Office","City Managers Office-311 Call Center-",2007,3,1,0,0,0,"City Managers Office City Managers Office-311 Call Center- 2007 3",0,0,NA,NA,NA,NA,NA,NA,NA,"2007.3","2007/03/31"
"65","City Managers Office","City Managers Office-311 Call Center-",2007,4,4,0,0,0,"City Managers Office City Managers Office-311 Call Center- 2007 4",1,0.5,1.4142135623731,2.41421356237309,3.82842712474619,5.24264068711929,-0.414213562373095,-1.82842712474619,-3.24264068711929,"2007.4","2007/04/30"
"66","City Managers Office","City Managers Office-311 Call Center-",2007,5,7,0,3,42.8571428571429,"City Managers Office City Managers Office-311 Call Center- 2007 5",6.57142857142857,1,11.1931101256851,17.7645386971137,28.9576488227988,40.1507589484839,-4.62168155425653,-15.8147916799416,-27.0079018056267,"2007.5","2007/05/31"
"67","City Managers Office","City Managers Office-311 Call Center-",2007,6,7,0,0,0,"City Managers Office City Managers Office-311 Call Center- 2007 6",1.28571428571429,0,1.97604704011871,3.26176132583299,5.2378083659517,7.21385540607041,-0.690332754404422,-2.66637979452313,-4.64242683464184,"2007.6","2007/06/30"
